Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
0.8425	4.5
0.845	-1.5
0.8475	-13.2
0.85	-9.5
0.8525	-2.7
0.855	5.1
0.8575	19.5
0.86	38.0
0.8625	46.2
0.865	24.0
0.8675	25.7
0.87	30.0
0.8725	25.0
0.875	38.4
0.8775	52.9
0.88	60.6
0.8825	49.9
0.885	50.6
0.8875	51.8
0.89	52.6
0.8925	71.7
0.895	81.8
0.8975	69.3
0.9	49.0
0.9025	38.8
0.905	43.4
0.9075	54.6
0.91	56.5
0.9125	53.1
0.915	42.4
0.9175	35.7
0.92	43.3
0.9225	38.7
0.925	45.2
0.9275	54.9
0.93	41.8
0.9325	30.1
0.935	22.7
0.9375	19.8
0.94	34.1
0.9425	36.9
0.945	22.3
0.9475	12.3
0.95	6.1
0.9525	10.7
0.955	11.2
0.9575	3.4
0.96	11.4
0.9625	13.8
0.965	11.7
0.9675	7.2
0.97	3.6
0.9725	20.8
0.975	29.7
0.9775	27.3
0.98	22.9
0.9825	21.9
0.985	25.9
0.9875	32.7
0.99	37.7
0.9925	43.2
0.995	52.7
0.9975	38.4
1	32.2
1.0025	19.9
1.005	5.1
1.0075	17.0
1.01	3.9
1.0125	1.8
1.015	-9.7
1.0175	-24.8
1.02	-15.8
1.0225	-16.3
1.025	-11.9
1.0275	-9.5
1.03	-6.3
1.0325	-2.1
1.035	5.1
1.0375	15.4
1.04	19.0
1.0425	28.7
1.045	26.8
1.0475	11.9
1.05	9.9
1.0525	10.4
1.055	7.5
1.0575	6.8
1.06	5.4
1.0625	1.9
1.065	-9.3
1.0675	-13.7
1.07	-16.4
1.0725	-16.8
1.075	-5.3
1.0775	-8.0
1.08	-16.8
1.0825	-17.1
1.085	-20.9
1.0875	-22.8
1.09	-3.5
1.0925	2.3
1.095	-4.4
1.0975	1.0
1.1	-10.5
1.1025	-3.2
1.105	22.0
1.1075	24.1
1.11	12.9
1.1125	18.5
1.115	27.5
1.1175	26.2
1.12	24.2
1.1225	20.3
1.125	20.3
1.1275	20.9
1.13	27.2
1.1325	31.0
1.135	31.7
1.1375	31.9
1.14	17.4
1.1425	10.8
1.145	23.9
1.1475	15.6
1.15	4.7
1.1525	14.2
1.155	23.0
1.1575	26.7
1.16	20.3
1.1625	13.5
1.165	6.8
1.1675	-5.0
1.17	-6.8
1.1725	-2.6
1.175	4.6
1.1775	6.6
1.18	2.9
1.1825	11.0
1.185	4.2
1.1875	-4.2
1.19	4.4
1.1925	8.6
1.195	9.7
1.1975	3.4
1.2	9.3
1.2025	13.5
1.205	8.6
1.2075	23.6
1.21	14.6
1.2125	-4.1
1.215	5.1
1.2175	-3.5
1.22	-6.6
1.2225	1.9
1.225	7.0
1.2275	15.2
1.23	11.6
1.2325	11.2
1.235	3.1
1.2375	-0.9
1.24	1.9
1.2425	-3.0
1.245	3.9
1.2475	3.4
1.25	1.9
1.2525	5.2
1.255	0.5
1.2575	2.0
1.26	3.6
1.2625	4.0
1.265	6.9
1.2675	13.2
1.27	20.1
1.2725	23.1
1.275	29.8
1.2775	29.3
1.28	29.1
1.2825	26.3
1.285	12.4
1.2875	13.3
1.29	17.8
1.2925	19.7
1.295	24.0
1.2975	25.1
1.3	25.3
1.3025	10.1
1.305	14.6
1.3075	26.0
1.31	16.6
1.3125	18.0
1.315	19.9
1.3175	22.2
1.32	26.6
1.3225	27.1
1.325	22.5
1.3275	22.1
1.33	18.8
1.3325	22.0
1.335	25.1
1.3375	24.3
1.34	27.8
1.3425	27.1
1.345	29.9
1.3475	24.7
1.35	25.0
1.3525	26.4
1.355	26.4
1.3575	39.3
1.36	33.5
1.3625	26.4
1.365	26.9
1.3675	24.0
1.37	31.8
1.3725	23.4
1.375	13.8
1.3775	22.8
1.38	23.5
1.3825	20.5
1.385	28.6
1.3875	27.4
1.39	24.0
1.3925	35.2
1.395	28.1
1.3975	25.7
1.4	30.7
1.4025	24.3
1.405	23.4
1.4075	16.1
1.41	23.3
1.4125	21.7
1.415	12.5
1.4175	27.3
1.42	23.3
1.4225	21.6
1.425	22.7
1.4275	13.6
1.43	8.9
1.4325	7.5
1.435	20.4
1.4375	15.9
1.44	8.9
1.4425	18.8
1.445	11.4
1.4475	9.3
1.45	18.2
1.4525	14.1
1.455	13.2
1.4575	29.3
1.46	32.2
1.4625	26.3
1.465	19.2
1.4675	18.1
1.47	15.9
1.4725	23.9
1.475	24.5
1.4775	18.7
1.48	30.0
1.4825	9.2
1.485	7.1
1.4875	16.2
1.49	16.8
1.4925	32.7
1.495	30.8
1.4975	22.4
1.5	24.4
1.5025	20.3
1.505	17.8
1.5075	28.4
1.51	38.3
1.5125	32.7
1.515	19.1
1.5175	14.5
1.52	10.8
1.5225	14.8
1.525	18.3
1.5275	9.2
1.53	9.3
1.5325	19.3
1.535	18.6
1.5375	12.6
1.54	18.0
1.5425	29.4
1.545	38.1
1.5475	29.7
1.55	15.5
1.5525	22.2
1.555	41.5
1.5575	40.2
1.56	37.2
1.5625	43.7
1.565	35.7
1.5675	27.3
1.57	27.4
1.5725	26.2
1.575	29.3
1.5775	24.5
1.58	16.3
1.5825	20.9
1.585	18.3
1.5875	13.9
1.59	14.0
