Interval=	0.0025 s
ExcelDateTime=	4.4991637778096825e+004	3/6/2023 15:18:24.027566
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
0.84	-11.3
0.8425	-21.2
0.845	-27.6
0.8475	-31.5
0.85	-36.2
0.8525	-31.8
0.855	-22.4
0.8575	-16.5
0.86	-16.5
0.8625	-19.1
0.865	-18.8
0.8675	-2.5
0.87	20.4
0.8725	30.6
0.875	31.3
0.8775	34.0
0.88	31.3
0.8825	28.5
0.885	34.0
0.8875	38.5
0.89	38.2
0.8925	36.2
0.895	26.2
0.8975	22.1
0.9	23.7
0.9025	18.9
0.905	18.9
0.9075	13.3
0.91	-1.3
0.9125	-19.5
0.915	-25.9
0.9175	-16.3
0.92	-13.1
0.9225	-12.7
0.925	-16.6
0.9275	-25.2
0.93	-26.7
0.9325	-30.8
0.935	-33.0
0.9375	-37.8
0.94	-33.9
0.9425	-34.7
0.945	-42.1
0.9475	-46.3
0.95	-45.7
0.9525	-28.6
0.955	-20.4
0.9575	-11.0
0.96	2.3
0.9625	-1.5
0.965	-1.4
0.9675	9.6
0.97	18.3
0.9725	26.4
0.975	22.1
0.9775	17.7
0.98	18.3
0.9825	16.2
0.985	16.2
0.9875	18.2
0.99	25.0
0.9925	18.4
0.995	6.7
0.9975	2.5
1	-0.5
1.0025	1.2
1.005	-1.3
1.0075	-9.9
1.01	-13.7
1.0125	-27.4
1.015	-41.3
1.0175	-38.5
1.02	-34.6
1.0225	-28.9
1.025	-32.0
1.0275	-33.7
1.03	-36.7
1.0325	-48.0
1.035	-45.5
1.0375	-33.2
1.04	-23.6
1.0425	-22.2
1.045	-20.8
1.0475	-22.0
1.05	-13.4
1.0525	-0.5
1.055	14.7
1.0575	24.1
1.06	22.0
1.0625	18.0
1.065	16.4
1.0675	17.0
1.07	16.9
1.0725	16.0
1.075	18.6
1.0775	17.7
1.08	-0.3
1.0825	-12.1
1.085	-9.9
1.0875	-5.4
1.09	-8.4
1.0925	-17.0
1.095	-22.7
1.0975	-27.7
1.1	-32.3
1.1025	-26.3
1.105	-17.5
1.1075	-16.7
1.11	-18.1
1.1125	-30.4
1.115	-33.1
1.1175	-26.3
1.12	-24.7
1.1225	-19.1
1.125	-22.7
1.1275	-22.2
1.13	-24.1
1.1325	-32.1
1.135	-24.2
1.1375	-16.1
1.14	-12.1
1.1425	-9.9
1.145	-14.8
1.1475	-16.6
1.15	-16.8
1.1525	-12.0
1.155	6.9
1.1575	18.7
1.16	7.9
1.1625	4.3
1.165	6.8
1.1675	7.8
1.17	16.6
1.1725	12.0
1.175	4.4
1.1775	5.7
1.18	0.6
1.1825	-5.3
1.185	-11.0
1.1875	-0.2
1.19	9.6
1.1925	6.2
1.195	10.8
1.1975	-5.1
1.2	-23.7
1.2025	-20.3
1.205	-20.4
1.2075	-18.7
1.21	-19.5
1.2125	-33.2
1.215	-36.4
1.2175	-30.8
1.22	-27.7
1.2225	-30.6
1.225	-27.6
1.2275	-15.9
1.23	-23.1
1.2325	-29.5
1.235	-21.8
1.2375	-2.6
1.24	11.0
1.2425	15.3
1.245	18.9
1.2475	8.9
1.25	9.1
1.2525	13.9
1.255	15.7
1.2575	14.7
1.26	8.0
1.2625	5.7
1.265	4.7
1.2675	11.0
1.27	14.3
1.2725	14.9
1.275	7.4
1.2775	-5.9
1.28	-4.7
1.2825	5.1
1.285	-1.3
1.2875	-2.5
1.29	-0.5
1.2925	-12.5
1.295	-9.2
1.2975	-8.9
1.3	6.2
1.3025	14.1
1.305	-8.7
1.3075	1.3
1.31	11.9
1.3125	9.9
1.315	4.3
1.3175	-2.8
1.32	5.1
1.3225	13.9
1.325	11.7
1.3275	5.2
1.33	13.2
1.3325	6.9
1.335	-6.8
1.3375	-3.4
1.34	-2.5
1.3425	-6.5
1.345	-10.2
1.3475	-10.8
1.35	-14.4
1.3525	-12.1
1.355	-0.7
1.3575	11.4
1.36	16.8
1.3625	6.3
1.365	-7.1
1.3675	-9.8
1.37	-9.0
1.3725	-1.3
1.375	3.4
1.3775	-4.2
1.38	-13.8
1.3825	-21.7
1.385	-19.5
1.3875	-8.5
1.39	-1.8
1.3925	-10.9
1.395	-22.5
1.3975	-21.5
1.4	-18.9
1.4025	-16.7
1.405	-7.2
1.4075	1.3
1.41	4.4
1.4125	-1.9
1.415	-12.3
1.4175	-7.3
1.42	-2.1
1.4225	-3.2
1.425	-6.3
1.4275	-12.2
1.43	-15.1
1.4325	-14.4
1.435	-12.7
1.4375	-9.6
1.44	6.0
1.4425	-3.4
1.445	-23.9
1.4475	-16.6
1.45	-19.7
1.4525	-20.4
1.455	-10.0
1.4575	-11.6
1.46	-12.3
1.4625	-11.0
1.465	-8.0
1.4675	-3.5
1.47	-4.0
1.4725	1.5
1.475	-1.3
1.4775	-5.0
1.48	-3.2
1.4825	-0.6
1.485	2.4
1.4875	-3.1
1.49	-3.3
1.4925	-2.8
1.495	-6.8
1.4975	-15.1
1.5	-15.1
1.5025	-11.4
1.505	-11.4
1.5075	-11.5
1.51	-17.3
1.5125	-21.6
1.515	-18.7
1.5175	-20.5
1.52	-21.4
1.5225	-13.0
1.525	-12.1
1.5275	-7.9
1.53	-7.7
1.5325	-16.2
1.535	-9.7
1.5375	4.7
1.54	14.8
1.5425	12.4
1.545	3.9
1.5475	-6.6
1.55	-14.7
1.5525	-7.7
1.555	-3.8
1.5575	-0.3
1.56	-6.9
1.5625	-21.9
1.565	-13.6
1.5675	-4.7
1.57	-1.8
1.5725	-4.0
1.575	-11.2
1.5775	-10.3
1.58	-12.4
1.5825	-14.3
1.585	-13.1
1.5875	-18.1
1.59	-14.6
1.5925	-11.9
1.595	-19.9
1.5975	-12.2
1.6	-5.3
1.6025	-13.8
1.605	-11.2
1.6075	-1.8
1.61	-7.2
1.6125	-20.2
1.615	-27.4
1.6175	-22.9
1.62	-14.3
1.6225	-8.0
1.625	-6.4
1.6275	-7.3
1.63	-5.0
1.6325	-9.3
1.635	-9.7
1.6375	-7.5
1.64	0.9
1.6425	0.2
1.645	-14.3
1.6475	-8.0
1.65	-10.1
1.6525	-21.1
1.655	-17.8
1.6575	-12.3
1.66	-10.2
1.6625	-15.9
1.665	-22.3
1.6675	-22.0
1.67	-22.9
1.6725	-14.5
1.675	-10.1
1.6775	-14.2
1.68	-9.8
1.6825	-10.1
1.685	-13.2
1.6875	-13.9
1.69	-16.9
1.6925	-21.2
1.695	-17.4
1.6975	-14.5
1.7	-11.7
1.7025	-1.7
1.705	1.4
1.7075	3.0
1.71	10.4
1.7125	15.6
1.715	10.6
1.7175	10.4
1.72	0.7
1.7225	-4.5
1.725	-3.8
1.7275	-18.2
1.73	-20.1
1.7325	-26.5
1.735	-31.7
1.7375	-28.1
1.74	-30.5
1.7425	-28.9
1.745	-28.1
1.7475	-37.3
1.75	-46.0
1.7525	-41.1
1.755	-33.4
1.7575	-26.9
1.76	-27.6
1.7625	-34.8
1.765	-31.0
1.7675	-19.9
1.77	-12.2
1.7725	-12.7
1.775	-11.5
1.7775	-13.7
1.78	-18.2
1.7825	-14.5
1.785	-15.0
1.7875	-12.8
1.79	-10.7
1.7925	-5.6
1.795	2.0
1.7975	-6.7
1.8	-5.7
1.8025	1.1
1.805	7.3
1.8075	7.7
1.81	3.6
1.8125	3.9
1.815	-1.2
1.8175	-6.9
1.82	-12.9
1.8225	-8.6
1.825	-20.6
1.8275	-37.0
1.83	-34.5
1.8325	-40.7
1.835	-38.6
1.8375	-30.5
1.84	-26.8
1.8425	-25.3
1.845	-29.0
1.8475	-35.1
1.85	-38.9
1.8525	-27.9
1.855	-16.0
1.8575	-10.4
1.86	-5.9
1.8625	-5.7
1.865	-4.7
1.8675	-1.6
1.87	13.2
1.8725	24.4
1.875	32.8
1.8775	36.5
1.88	23.2
1.8825	26.1
1.885	29.2
1.8875	24.5
1.89	27.0
1.8925	25.9
1.895	20.6
1.8975	9.5
1.9	3.2
1.9025	0.1
1.905	-4.1
1.9075	-3.9
1.91	-5.5
1.9125	-17.6
1.915	-32.2
1.9175	-26.8
1.92	-29.4
1.9225	-31.6
1.925	-25.8
1.9275	-31.9
1.93	-25.5
1.9325	-20.4
1.935	-17.3
1.9375	-11.4
1.94	-8.0
1.9425	-2.4
1.945	-5.2
1.9475	0.8
1.95	6.8
1.9525	8.9
1.955	10.1
1.9575	6.9
1.96	13.9
1.9625	12.6
